StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00899,543947,415,11314846,20.95,20.95,20.74,20.78,-0.51,2023-03-20
00900,7880139,2107,91455076,11.61,11.66,11.57,11.59,0.0,2023-03-20
00901,1105549,176,14198880,12.87,12.9,12.82,12.85,-0.02,2023-03-20
00902,12278227,4497,147800075,12.11,12.15,11.99,12.04,-0.14,2023-03-20
00903,2638732,459,25478561,9.7,9.7,9.61,9.62,-0.12,2023-03-20
00904,1176144,264,14685451,12.53,12.55,12.44,12.47,-0.02,2023-03-20
00905,1246480,562,11137359,8.95,8.96,8.91,8.94,0.0,2023-03-20
00906,24000,4,248870,10.37,10.37,10.36,10.36,-0.02,2023-03-20
00907,2559439,1002,36047839,14.15,14.15,14.05,14.12,-0.03,2023-03-20
00908,2100278,1064,25012942,11.98,11.98,11.87,11.88,-0.31,2023-03-20
00909,579110,160,9657504,16.73,16.75,16.61,16.63,0.14,2023-03-20
00910,82280,426,1246174,15.16,15.16,15.11,15.12,-0.01,2023-03-20
00911,189031,20,3278787,17.37,17.37,17.31,17.33,-0.1,2023-03-20
00912,580531,370,8557053,14.81,14.81,14.7,14.73,-0.02,2023-03-20
00913,179386,18,2996881,16.72,16.75,16.65,16.65,0.0,2023-03-20
00915,323514,274,5186632,16.09,16.09,16.01,16.03,-0.06,2023-03-20
00916,929065,330,14150021,15.28,15.28,15.2,15.2,-0.09,2023-03-20
00917,1271589,593,18145187,14.44,14.44,14.2,14.22,-0.33,2023-03-20
00918,135021,81,2254096,16.75,16.78,16.66,16.66,-0.05,2023-03-20
00919,1723804,2720,32376691,18.81,18.87,18.73,18.79,0.12,2023-03-20
00920,1508469,336,24020210,16.13,16.13,15.86,15.91,-0.5,2023-03-20
00921,112723,121,1741761,15.5,15.5,15.43,15.46,-0.05,2023-03-20
00923,4672114,1756,69184973,14.87,14.9,14.76,14.8,-0.07,2023-03-20
01001T,18001,11,278937,15.58,15.6,15.4,15.5,-0.08,2023-03-20
01002T,130000,31,2277310,17.52,17.55,17.49,17.5,-0.05,2023-03-20
01003T,15000,8,305240,20.39,20.39,20.33,20.33,-0.11,2023-03-20
01004T,6000,4,89580,14.9,14.99,14.9,14.99,-0.01,2023-03-20
01007T,116000,19,2028870,17.52,17.52,17.42,17.5,-0.35,2023-03-20
01009T,1000,1,8310,8.31,8.31,8.31,8.31,0.01,2023-03-20
01010T,8000,5,80140,10.05,10.05,10.0,10.04,0.0,2023-03-20
020000,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020002,2000,1,25360,12.68,12.68,12.68,12.68,0.0,2023-03-20
020007,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020011,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020012,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020015,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020016,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020018,21000,3,337640,16.02,16.14,16.02,16.14,0.12,2023-03-20
020019,5000,2,63940,12.78,12.79,12.78,12.79,0.04,2023-03-20
02001L,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
02001R,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
02001S,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
020020,51000,15,341380,6.71,6.72,6.67,6.68,-0.02,2023-03-20
020022,208000,37,1145050,5.52,5.52,5.49,5.51,0.01,2023-03-20
020028,69000,13,366370,5.32,5.32,5.3,5.31,0.01,2023-03-20
020029,179000,32,879840,4.92,4.93,4.9,4.92,0.03,2023-03-20
020030,78000,15,328430,4.22,4.22,4.21,4.21,0.02,2023-03-20
020031,106000,26,462450,4.33,4.39,4.33,4.36,0.03,2023-03-20
020032,16000,5,83790,5.23,5.24,5.23,5.24,0.01,2023-03-20
020034,311000,29,1703450,5.48,5.51,5.47,5.47,0.02,2023-03-20
030001,21000,2,50050,2.45,2.45,2.38,2.38,0.0,2023-03-20
030002,80000,3,100700,1.37,1.37,1.24,1.24,-0.04,2023-03-20
030003,3000,1,12000,4.0,4.0,4.0,4.0,0.0,2023-03-20
030004,1000,1,1800,1.8,1.8,1.8,1.8,0.05,2023-03-20
030005,30000,1,18000,0.6,0.6,0.6,0.6,0.01,2023-03-20
030006,32000,3,8460,0.28,0.28,0.26,0.27,-0.02,2023-03-20
030007,20000,2,9100,0.48,0.48,0.43,0.43,0.0,2023-03-20
030008,49000,9,13970,0.31,0.31,0.27,0.29,-0.02,2023-03-20
030009,217000,16,315360,1.47,1.49,1.23,1.23,-0.09,2023-03-20
030010,30000,2,18700,0.59,0.69,0.59,0.69,0.17,2023-03-20
030011,121000,17,70770,0.56,0.6,0.56,0.59,0.05,2023-03-20
030012,10000,1,23400,2.34,2.34,2.34,2.34,0.0,2023-03-20
030013,112000,7,68540,0.6,0.63,0.6,0.62,0.0,2023-03-20
030014,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030015,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030016,98000,7,151960,1.49,1.66,1.49,1.57,0.16,2023-03-20
030017,100000,1,55000,0.55,0.55,0.55,0.55,0.0,2023-03-20
030018,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030019,10000,1,700,0.07,0.07,0.07,0.07,0.0,2023-03-20
03001U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030020,16000,5,1960,0.12,0.13,0.12,0.12,-0.01,2023-03-20
030021,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030022,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030023,190000,31,499510,2.85,2.85,2.56,2.61,-0.19,2023-03-20
030024,114000,7,242940,2.19,2.19,2.06,2.06,-0.15,2023-03-20
030025,56000,2,75040,1.34,1.34,1.34,1.34,0.02,2023-03-20
030026,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030027,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030028,11000,3,13540,1.27,1.34,1.17,1.17,-0.14,2023-03-20
030029,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03002P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03002U,6000,1,11520,1.92,1.92,1.92,1.92,-0.14,2023-03-20
030030,18000,2,14800,0.83,0.83,0.82,0.82,0.02,2023-03-20
030031,414000,17,333100,0.84,0.84,0.75,0.76,-0.02,2023-03-20
030032,303000,15,307160,0.96,1.16,0.96,1.16,0.0,2023-03-20
030033,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030034,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030035,70000,1,4200,0.06,0.06,0.06,0.06,0.0,2023-03-20
030036,8000,1,6560,0.82,0.82,0.82,0.82,0.07,2023-03-20
